wavelength,k
2.36e-18,0.00146
3.16e-18,0.00113
4.47e-18,0.000783
6.76e-18,0.00265
1.14e-17,0.00948
1.355e-17,0.0122
1.714e-17,0.0357
2.43e-17,0.164
2.563e-17,0.186
3.038e-17,0.186
3.27e-17,0.271
3.568e-17,0.263
3.793e-17,0.276
4.059e-17,0.201
4.478e-17,0.246
4.607e-17,0.236
4.895e-17,0.221
5.391e-17,0.293
5.843e-17,0.333
6.163e-17,0.356
6.714e-17,0.409
7.185e-17,0.478
7.359e-17,0.471
7.437e-17,0.462
8.345e-17,0.583
8.78e-17,0.538
9.198e-17,0.652
9.321e-17,0.586
9.888e-17,0.647
1.0258e-16,0.656
1.0482e-16,0.683
1.0667e-16,0.745
1.0857e-16,0.711
1.135e-16,0.767
1.2007e-16,0.894
1.2157e-16,0.962
