wavelength,n
2.36e-18,0.99832
3.16e-18,0.99807
4.47e-18,0.99433
6.76e-18,0.9867
1.14e-17,0.9652
1.355e-17,0.953
1.714e-17,0.91
2.43e-17,0.782
2.563e-17,0.786
3.038e-17,0.886
3.27e-17,0.9
3.568e-17,0.912
3.793e-17,0.9
4.059e-17,0.852
4.478e-17,0.817
4.607e-17,0.8
4.895e-17,0.795
5.391e-17,0.787
5.843e-17,0.782
6.163e-17,0.82
6.714e-17,0.807
7.185e-17,0.836
7.359e-17,0.785
7.437e-17,0.776
8.345e-17,0.872
8.78e-17,0.85
9.198e-17,0.911
9.321e-17,0.883
9.888e-17,0.962
1.0258e-16,0.979
1.0482e-16,0.946
1.0667e-16,0.992
1.0857e-16,0.961
1.135e-16,0.992
1.2007e-16,1.09
1.2157e-16,1.25
