wavelength,k
7.7478e-10,0.000295
7.75025e-10,0.000293
7.7527e-10,0.000288
7.75516e-10,0.000289
7.75761e-10,0.000291
7.76006e-10,0.000296
7.76252e-10,0.000299
7.76498e-10,0.000296
7.76744e-10,0.000285
7.7699e-10,0.000288
7.77236e-10,0.000286
7.77483e-10,0.000282
7.77729e-10,0.000285
7.77976e-10,0.000277
7.78223e-10,0.000273
7.7847e-10,0.000278
7.78717e-10,0.000289
7.78964e-10,0.000297
7.79212e-10,0.000303
7.7946e-10,0.000298
7.79707e-10,0.000298
7.79955e-10,0.000296
7.80204e-10,0.000296
7.80452e-10,0.000296
7.807e-10,0.000293
7.80949e-10,0.00029
7.81198e-10,0.000294
7.81447e-10,0.000294
7.81696e-10,0.000295
7.81945e-10,0.000293
7.82194e-10,0.000293
7.82444e-10,0.00029
7.82694e-10,0.000288
7.82944e-10,0.000293
7.83194e-10,0.000301
7.83444e-10,0.000306
7.83694e-10,0.000304
7.83945e-10,0.000301
7.84196e-10,0.0003
7.84446e-10,0.000304
7.84697e-10,0.000304
7.84949e-10,0.000304
7.852e-10,0.000296
7.85452e-10,0.000289
7.85703e-10,0.000285
7.85955e-10,0.000288
7.86207e-10,0.000293
7.86459e-10,0.000297
7.86711e-10,0.000301
7.86964e-10,0.000306
7.87217e-10,0.000311
7.87469e-10,0.000314
7.87722e-10,0.000314
7.87975e-10,0.000307
7.88229e-10,0.000296
7.88482e-10,0.000289
7.88736e-10,0.000293
7.8899e-10,0.000291
7.89243e-10,0.000294
7.89498e-10,0.000291
7.89752e-10,0.000288
7.90006e-10,0.00029
7.90261e-10,0.000292
7.90516e-10,0.000293
7.90771e-10,0.00029
7.91026e-10,0.000282
7.91281e-10,0.000287
7.91536e-10,0.000294
7.91792e-10,0.00029
7.92048e-10,0.000288
7.92303e-10,0.00029
7.9256e-10,0.000299
7.92816e-10,0.000294
7.93072e-10,0.000294
7.93329e-10,0.000287
7.93585e-10,0.000279
7.93842e-10,0.000277
7.94099e-10,0.000274
7.94357e-10,0.000275
7.94614e-10,0.000279
7.94872e-10,0.000278
7.95129e-10,0.000282
7.95387e-10,0.00028
7.95645e-10,0.000279
7.95904e-10,0.000276
7.96162e-10,0.000278
7.96421e-10,0.00028
7.96679e-10,0.000286
7.96938e-10,0.000291
7.97197e-10,0.000294
7.97457e-10,0.000292
7.97716e-10,0.000299
7.97976e-10,0.000302
7.98235e-10,0.000306
7.98495e-10,0.0003
7.98755e-10,0.000298
7.99016e-10,0.000297
7.99276e-10,0.00029
7.99537e-10,0.000283
7.99797e-10,0.000283
8.00058e-10,0.000285
8.00319e-10,0.000283
8.00581e-10,0.000289
8.00842e-10,0.00029
8.01104e-10,0.000285
8.01366e-10,0.00028
8.01628e-10,0.000277
8.0189e-10,0.00028
8.02152e-10,0.000281
8.02415e-10,0.000277
8.02677e-10,0.000278
8.0294e-10,0.000279
8.03203e-10,0.000283
8.03466e-10,0.00028
8.03729e-10,0.000275
8.03993e-10,0.000269
8.04257e-10,0.000267
8.04521e-10,0.000263
8.04785e-10,0.000259
8.05049e-10,0.000257
8.05313e-10,0.000256
8.05578e-10,0.000255
8.05842e-10,0.000254
8.06107e-10,0.000254
8.06372e-10,0.000254
8.06638e-10,0.000251
8.06903e-10,0.000254
8.07169e-10,0.000257
8.07434e-10,0.000252
8.077e-10,0.000253
8.07967e-10,0.000258
8.08233e-10,0.000261
8.08499e-10,0.000264
8.08766e-10,0.000264
8.09033e-10,0.000263
8.093e-10,0.000259
8.09567e-10,0.00026
8.09834e-10,0.00026
8.10102e-10,0.00026
8.1037e-10,0.000258
8.10637e-10,0.000261
8.10906e-10,0.000263
8.11174e-10,0.000262
8.11442e-10,0.000265
8.11711e-10,0.000259
8.1198e-10,0.000257
8.12249e-10,0.000254
8.12518e-10,0.000247
8.12787e-10,0.000246
8.13056e-10,0.00024
8.13326e-10,0.000239
