wavelength,n
1.88e-16,1.47
1.92e-16,1.54
1.95e-16,1.58
1.99e-16,1.62
2.03e-16,1.65
2.07e-16,1.68
2.12e-16,1.66
2.16e-16,1.65
2.21e-16,1.63
2.26e-16,1.62
2.31e-16,1.59
2.37e-16,1.58
2.43e-16,1.57
2.49e-16,1.6
2.55e-16,1.64
2.62e-16,1.7
2.69e-16,1.77
2.76e-16,1.81
2.84e-16,1.87
2.92e-16,1.93
3.01e-16,2.07
3.11e-16,2.17
3.2e-16,2.28
3.32e-16,2.37
3.42e-16,2.42
3.54e-16,2.51
3.68e-16,2.68
3.81e-16,2.87
3.97e-16,3.07
4.13e-16,3.31
4.31e-16,3.52
4.51e-16,3.59
4.71e-16,3.81
4.96e-16,3.92
5.21e-16,3.86
5.49e-16,4.0
5.82e-16,3.83
6.17e-16,3.54
6.59e-16,3.25
7.04e-16,3.18
7.56e-16,3.2
8.21e-16,3.16
8.92e-16,3.12
9.84e-16,2.94
1.088e-15,2.87
1.216e-15,2.7
1.393e-15,2.64
1.61e-15,2.77
1.937e-15,2.79
