wavelength,k
6.67e-16,2.9042727
7.14e-16,2.7924078
7.69e-16,2.6322954
8.33e-16,2.76706
9.09e-16,3.0100921
1e-15,3.4208368
1.05e-15,3.722401
1.11e-15,3.9693342
1.18e-15,4.1791582
1.25e-15,4.3367596
1.33e-15,4.4460869
1.43e-15,4.3901355
1.54e-15,4.7741297
1.67e-15,5.4881071
1.82e-15,6.4453363
2e-15,7.5659499
2.11e-15,8.2613235
2.22e-15,9.0476312
2.35e-15,9.8569158
2.5e-15,10.710594
2.67e-15,11.554665
2.86e-15,12.375593
3.08e-15,13.261664
3.33e-15,14.40046
3.64e-15,15.887186
4e-15,17.69477
4.44e-15,19.89851
5e-15,22.612178
5.71e-15,26.005432
6.67e-15,30.343034
8e-15,36.072044
1e-14,44.019189
1.11e-14,48.146015
1.25e-14,53.112521
1.43e-14,59.208636
1.67e-14,66.923752
2e-14,77.087223
2.22e-14,83.517367
2.5e-14,91.217414
2.86e-14,100.62038
3.33e-14,112.34062
4e-14,128.08146
4.44e-14,136.67195
5e-14,146.58093
5.71e-14,159.83902
6.67e-14,177.92054
8e-14,202.21197
1e-13,234.03939
1.25e-13,265.86909
1.54e-13,294.94073
2e-13,332.81796
