wavelength,k
2.36e-09,0.00126
3.16e-09,0.00197
4.47e-09,0.00398
6.76e-09,0.00798
1.14e-08,0.0151
1.355e-08,0.02
1.714e-08,0.0496
2.43e-08,0.132
2.563e-08,0.128
3.038e-08,0.156
3.27e-08,0.17
3.568e-08,0.15
3.793e-08,0.135
4.059e-08,0.141
4.478e-08,0.223
4.607e-08,0.226
4.895e-08,0.286
5.391e-08,0.436
5.843e-08,0.528
6.163e-08,0.561
6.714e-08,0.674
7.185e-08,0.767
7.359e-08,0.723
7.437e-08,0.774
8.345e-08,0.775
8.78e-08,0.845
9.198e-08,0.815
9.321e-08,0.765
9.888e-08,0.874
1.0258e-07,0.903
1.0482e-07,0.892
1.0667e-07,0.883
1.0857e-07,0.867
1.135e-07,0.857
1.2007e-07,0.836
1.2157e-07,0.853
