wavelength,n
2.36e-09,0.99775
3.16e-09,0.99712
4.47e-09,0.99499
6.76e-09,0.99033
1.14e-08,0.9713
1.355e-08,0.9543
1.714e-08,0.9092
2.43e-08,0.909
2.563e-08,0.911
3.038e-08,0.899
3.27e-08,0.907
3.568e-08,0.866
3.793e-08,0.838
4.059e-08,0.81
4.478e-08,0.75
4.607e-08,0.73
4.895e-08,0.706
5.391e-08,0.712
5.843e-08,0.72
6.163e-08,0.745
6.714e-08,0.814
7.185e-08,0.96
7.359e-08,0.912
7.437e-08,0.96
8.345e-08,0.95
8.78e-08,1.04
9.198e-08,1.01
9.321e-08,0.98
9.888e-08,1.1
1.0258e-07,1.19
1.0482e-07,1.15
1.0667e-07,1.13
1.0857e-07,1.21
1.135e-07,1.23
1.2007e-07,1.51
1.2157e-07,1.24
