wavelength,n
2.36e-09,0.99783
3.16e-09,0.99781
4.47e-09,0.99536
6.76e-09,0.9922
1.14e-08,0.9694
1.355e-08,0.955
1.714e-08,0.9188
2.43e-08,0.808
2.563e-08,0.79
3.038e-08,0.757
3.27e-08,0.868
3.568e-08,0.949
3.793e-08,0.963
4.059e-08,0.9
4.478e-08,0.866
4.607e-08,0.829
4.895e-08,0.844
5.391e-08,0.825
5.843e-08,0.838
6.163e-08,0.826
6.714e-08,0.768
7.185e-08,0.807
7.359e-08,0.789
7.437e-08,0.817
8.345e-08,0.817
8.78e-08,0.828
9.198e-08,0.81
9.321e-08,0.804
9.888e-08,0.814
1.0258e-07,0.895
1.0482e-07,0.952
1.0667e-07,0.85
1.0857e-07,0.907
1.135e-07,1.15
1.2007e-07,1.14
1.2157e-07,1.28
