wavelength,k
2e-18,0.0
5.45e-17,0.2137
9e-17,0.6501
1e-16,0.4853
1.012e-16,0.4768
1.087e-16,0.3761
1.162e-16,0.3225
1.2e-16,0.3336
1.337e-16,0.1814
4e-16,0.0
5.831e-16,1.237e-09
5.983e-16,1.167e-09
6.215e-16,1.951e-07
6.696e-16,4.771e-09
6.856e-16,2.675e-09
7.057e-16,8.381e-09
7.174e-16,1.156e-07
7.299e-16,9.907e-08
7.849e-16,3.995e-08
7.994e-16,6.103e-08
8.418e-16,4.998e-08
8.673e-16,3.311e-07
8.885e-16,1.899e-06
9.742e-16,4.958e-07
9.872e-16,6.281e-07
1e-15,8.313e-07
1.014e-15,1.006e-06
1.235e-15,1.677e-07
1.241e-15,8.425e-08
1.932e-15,1.574e-06
1.953e-15,8.947e-07
3.29e-15,0.03198
3.33e-15,0.07462
3.37e-15,0.03731
3.43e-15,0.02132
3.57e-15,0.01066
7.59e-15,0.07728
7.69e-15,0.1706
7.8e-15,0.07994
8.13e-15,0.2135
8.26e-15,0.01067
4.167e-14,0.0006645
7.143e-14,0.001442
