wavelength,n
2e-18,1.001
5.45e-17,0.856
9e-17,1.209
1e-16,1.448
1.012e-16,1.446
1.087e-16,1.508
1.162e-16,1.472
1.2e-16,1.486
1.337e-16,1.704
4e-16,1.3
5.831e-16,1.292
5.983e-16,1.292
6.215e-16,1.291
6.696e-16,1.29
6.856e-16,1.29
7.057e-16,1.29
7.174e-16,1.29
7.299e-16,1.29
7.849e-16,1.289
7.994e-16,1.289
8.418e-16,1.289
8.673e-16,1.288
8.885e-16,1.288
9.742e-16,1.288
9.872e-16,1.288
1e-15,1.288
1.014e-15,1.288
1.235e-15,1.287
1.241e-15,1.287
1.932e-15,1.285
1.953e-15,1.285
3.29e-15,1.243
3.33e-15,1.278
3.37e-15,1.311
3.43e-15,1.301
3.57e-15,1.303
7.59e-15,1.195
7.69e-15,1.275
7.8e-15,1.365
8.13e-15,1.326
8.26e-15,1.332
4.167e-14,1.291
7.143e-14,1.292
