wavelength,k
2e-18,0.0
1.14e-17,0.002607
5.45e-17,0.2332
9e-17,0.7096
9.87e-17,0.5681
1.012e-16,0.5203
1.087e-16,0.4104
1.162e-16,0.3518
1.2e-16,0.3632
1.337e-16,0.1981
4e-16,0.0
1e-15,0.0
1.138e-15,1.9e-05
1.165e-15,4.577e-05
1.336e-15,5.023e-05
1.371e-15,1.828e-05
1.385e-15,9.073e-06
1.402e-15,3.642e-05
1.412e-15,2.368e-05
1.669e-15,0.0004737
1.724e-15,0.0002446
1.785e-15,8.213e-05
1.796e-15,0.0001807
2.317e-15,0.003453
2.324e-15,0.006189
2.329e-15,0.003096
2.377e-15,0.005058
2.379e-15,0.009199
2.381e-15,0.005547
3.315e-15,0.1312
3.322e-15,0.2564
3.33e-15,0.1107
3.534e-15,0.002877
3.546e-15,0.004574
3.565e-15,0.00257
7.675e-15,0.4585
7.692e-15,0.9598
7.71e-15,0.5199
3.636e-14,0.0007624
6.25e-14,0.002636
1e-13,0.002387
