wavelength,n
2.006e-15,1.38
2.011e-15,1.38
2.017e-15,1.38
2.023e-15,1.38
2.029e-15,1.38
2.034e-15,1.38
2.04e-15,1.38
2.046e-15,1.38
2.052e-15,1.38
2.057e-15,1.38
2.063e-15,1.38
2.069e-15,1.379
2.075e-15,1.379
2.08e-15,1.379
2.086e-15,1.379
2.092e-15,1.379
2.098e-15,1.379
2.103e-15,1.379
2.109e-15,1.379
2.115e-15,1.379
2.121e-15,1.379
2.126e-15,1.379
2.132e-15,1.379
2.138e-15,1.379
2.144e-15,1.379
2.149e-15,1.379
2.155e-15,1.379
2.161e-15,1.379
2.167e-15,1.379
2.172e-15,1.379
2.178e-15,1.379
2.184e-15,1.379
2.19e-15,1.379
2.195e-15,1.379
2.201e-15,1.379
2.207e-15,1.379
2.213e-15,1.379
2.218e-15,1.379
2.224e-15,1.379
2.23e-15,1.379
2.236e-15,1.379
2.241e-15,1.379
2.247e-15,1.379
2.253e-15,1.379
2.259e-15,1.378
2.264e-15,1.378
2.27e-15,1.378
2.276e-15,1.378
2.282e-15,1.378
2.287e-15,1.378
2.293e-15,1.378
2.299e-15,1.378
2.305e-15,1.378
2.31e-15,1.378
2.316e-15,1.379
2.322e-15,1.379
2.328e-15,1.379
2.333e-15,1.379
2.339e-15,1.379
2.345e-15,1.379
2.351e-15,1.379
2.356e-15,1.379
2.362e-15,1.379
2.368e-15,1.379
2.374e-15,1.379
2.379e-15,1.379
2.385e-15,1.379
2.391e-15,1.379
2.397e-15,1.379
2.402e-15,1.379
2.408e-15,1.379
2.414e-15,1.379
2.42e-15,1.379
2.425e-15,1.379
2.431e-15,1.379
2.437e-15,1.379
2.443e-15,1.379
2.448e-15,1.379
2.454e-15,1.378
2.46e-15,1.378
2.466e-15,1.378
2.471e-15,1.378
2.477e-15,1.378
2.483e-15,1.378
2.489e-15,1.378
2.494e-15,1.378
2.5e-15,1.378
2.506e-15,1.378
2.512e-15,1.378
2.517e-15,1.378
2.523e-15,1.378
2.529e-15,1.378
2.535e-15,1.378
2.541e-15,1.378
2.547e-15,1.378
2.552e-15,1.378
2.558e-15,1.378
2.56e-15,1.378
2.564e-15,1.378
2.568e-15,1.378
2.57e-15,1.378
2.576e-15,1.378
2.584e-15,1.378
2.592e-15,1.378
2.6e-15,1.378
2.608e-15,1.378
2.616e-15,1.378
2.624e-15,1.378
2.632e-15,1.378
2.64e-15,1.377
2.648e-15,1.377
2.656e-15,1.377
2.664e-15,1.377
2.672e-15,1.377
2.68e-15,1.377
2.688e-15,1.377
2.696e-15,1.377
2.704e-15,1.377
2.712e-15,1.377
2.72e-15,1.377
2.728e-15,1.377
2.736e-15,1.377
2.744e-15,1.377
2.752e-15,1.377
2.76e-15,1.376
2.768e-15,1.376
2.776e-15,1.376
2.784e-15,1.376
2.792e-15,1.376
2.8e-15,1.376
2.808e-15,1.376
2.816e-15,1.376
2.824e-15,1.376
2.832e-15,1.376
2.84e-15,1.375
2.848e-15,1.375
2.856e-15,1.375
2.864e-15,1.375
2.872e-15,1.375
2.88e-15,1.375
2.888e-15,1.375
2.896e-15,1.375
2.904e-15,1.375
2.912e-15,1.374
2.92e-15,1.374
2.928e-15,1.374
2.936e-15,1.374
2.944e-15,1.374
2.952e-15,1.374
2.96e-15,1.374
2.968e-15,1.373
2.976e-15,1.373
2.984e-15,1.373
2.992e-15,1.373
3e-15,1.373
3.008e-15,1.373
3.016e-15,1.373
3.024e-15,1.372
3.032e-15,1.372
3.04e-15,1.372
3.048e-15,1.372
3.056e-15,1.372
3.064e-15,1.371
3.072e-15,1.371
3.08e-15,1.371
3.088e-15,1.371
3.096e-15,1.371
3.104e-15,1.37
3.112e-15,1.37
3.12e-15,1.37
3.128e-15,1.369
3.136e-15,1.369
3.144e-15,1.369
3.152e-15,1.369
3.16e-15,1.368
3.168e-15,1.368
3.176e-15,1.367
3.184e-15,1.367
3.192e-15,1.366
3.2e-15,1.366
3.208e-15,1.365
3.216e-15,1.365
3.224e-15,1.364
3.232e-15,1.363
3.24e-15,1.362
3.248e-15,1.361
3.256e-15,1.36
3.264e-15,1.359
3.272e-15,1.357
3.28e-15,1.355
3.288e-15,1.354
3.296e-15,1.351
3.304e-15,1.348
3.312e-15,1.345
3.32e-15,1.337
3.328e-15,1.334
3.336e-15,1.337
3.344e-15,1.335
3.352e-15,1.333
3.36e-15,1.331
3.368e-15,1.33
3.376e-15,1.329
3.384e-15,1.33
3.392e-15,1.336
3.4e-15,1.352
3.408e-15,1.369
3.416e-15,1.379
3.424e-15,1.384
3.432e-15,1.389
3.44e-15,1.393
3.448e-15,1.396
3.456e-15,1.398
3.464e-15,1.402
3.472e-15,1.407
3.48e-15,1.414
3.488e-15,1.418
3.496e-15,1.42
3.504e-15,1.422
3.512e-15,1.423
3.52e-15,1.423
3.528e-15,1.422
3.536e-15,1.42
3.544e-15,1.419
3.552e-15,1.418
3.56e-15,1.416
3.568e-15,1.415
3.576e-15,1.415
3.584e-15,1.415
3.592e-15,1.419
3.6e-15,1.417
3.608e-15,1.411
3.616e-15,1.408
3.624e-15,1.406
3.632e-15,1.404
3.64e-15,1.403
3.648e-15,1.402
3.656e-15,1.401
3.664e-15,1.4
3.672e-15,1.4
3.68e-15,1.399
3.688e-15,1.399
3.696e-15,1.398
3.704e-15,1.398
3.712e-15,1.397
3.72e-15,1.397
3.728e-15,1.396
3.736e-15,1.396
3.744e-15,1.396
3.752e-15,1.395
3.76e-15,1.395
3.768e-15,1.394
3.776e-15,1.394
3.784e-15,1.394
3.792e-15,1.393
3.8e-15,1.393
3.808e-15,1.393
3.816e-15,1.393
3.824e-15,1.392
3.832e-15,1.392
3.84e-15,1.392
3.848e-15,1.392
3.856e-15,1.392
3.864e-15,1.391
3.872e-15,1.391
3.88e-15,1.391
3.888e-15,1.391
3.896e-15,1.391
3.904e-15,1.391
3.912e-15,1.39
3.92e-15,1.39
3.928e-15,1.39
3.936e-15,1.39
3.944e-15,1.39
3.952e-15,1.39
3.96e-15,1.389
3.968e-15,1.389
3.976e-15,1.389
3.984e-15,1.389
3.992e-15,1.389
4e-15,1.389
4.008e-15,1.388
4.016e-15,1.388
4.024e-15,1.388
4.032e-15,1.388
4.04e-15,1.388
4.048e-15,1.388
4.056e-15,1.388
4.064e-15,1.388
4.072e-15,1.388
4.08e-15,1.388
4.088e-15,1.388
4.096e-15,1.387
4.104e-15,1.387
4.112e-15,1.387
4.12e-15,1.387
4.128e-15,1.387
4.136e-15,1.387
4.144e-15,1.387
4.152e-15,1.387
4.16e-15,1.387
4.168e-15,1.387
4.176e-15,1.387
4.184e-15,1.387
4.192e-15,1.387
4.2e-15,1.387
4.208e-15,1.386
4.216e-15,1.386
4.224e-15,1.386
4.232e-15,1.386
4.24e-15,1.386
4.248e-15,1.386
4.256e-15,1.386
4.264e-15,1.386
4.272e-15,1.386
4.28e-15,1.386
4.288e-15,1.386
4.296e-15,1.386
4.304e-15,1.386
4.312e-15,1.386
4.32e-15,1.386
4.328e-15,1.386
4.336e-15,1.385
4.344e-15,1.385
4.352e-15,1.385
4.36e-15,1.385
4.368e-15,1.385
4.376e-15,1.385
4.384e-15,1.385
4.392e-15,1.385
4.4e-15,1.385
4.408e-15,1.385
4.416e-15,1.385
4.424e-15,1.385
4.432e-15,1.385
4.44e-15,1.385
4.448e-15,1.385
4.456e-15,1.385
4.464e-15,1.385
4.472e-15,1.385
4.48e-15,1.385
4.488e-15,1.385
4.496e-15,1.385
4.504e-15,1.385
4.512e-15,1.385
4.52e-15,1.385
4.528e-15,1.385
4.536e-15,1.385
4.544e-15,1.384
4.552e-15,1.384
4.56e-15,1.384
4.568e-15,1.384
4.576e-15,1.384
4.584e-15,1.384
4.592e-15,1.384
4.6e-15,1.384
4.608e-15,1.384
4.616e-15,1.384
4.624e-15,1.384
4.632e-15,1.384
4.64e-15,1.384
4.648e-15,1.384
4.656e-15,1.384
4.664e-15,1.384
4.672e-15,1.384
4.68e-15,1.384
4.688e-15,1.384
4.696e-15,1.384
4.704e-15,1.384
4.712e-15,1.384
4.72e-15,1.384
4.728e-15,1.384
4.736e-15,1.384
4.744e-15,1.384
4.752e-15,1.384
4.76e-15,1.384
4.768e-15,1.384
4.776e-15,1.384
4.784e-15,1.384
4.792e-15,1.384
4.8e-15,1.384
4.808e-15,1.384
4.816e-15,1.383
4.824e-15,1.383
4.832e-15,1.383
4.84e-15,1.383
4.848e-15,1.383
4.856e-15,1.383
4.864e-15,1.383
4.872e-15,1.383
4.88e-15,1.383
4.888e-15,1.383
4.896e-15,1.383
4.904e-15,1.383
4.912e-15,1.383
4.92e-15,1.383
4.928e-15,1.383
4.936e-15,1.383
4.944e-15,1.383
4.952e-15,1.383
4.96e-15,1.383
4.968e-15,1.383
4.976e-15,1.383
4.984e-15,1.383
4.992e-15,1.383
5e-15,1.383
5.008e-15,1.383
5.016e-15,1.383
5.024e-15,1.383
5.032e-15,1.383
5.04e-15,1.383
5.048e-15,1.383
5.056e-15,1.383
5.064e-15,1.382
5.072e-15,1.382
5.08e-15,1.382
5.088e-15,1.382
5.096e-15,1.382
5.104e-15,1.382
5.112e-15,1.382
5.12e-15,1.382
5.128e-15,1.382
5.136e-15,1.382
5.144e-15,1.382
5.152e-15,1.382
5.16e-15,1.382
5.168e-15,1.382
5.176e-15,1.382
5.184e-15,1.382
5.192e-15,1.382
5.2e-15,1.382
5.208e-15,1.382
5.216e-15,1.382
5.224e-15,1.382
5.232e-15,1.382
5.24e-15,1.382
5.248e-15,1.382
5.256e-15,1.382
5.264e-15,1.382
5.272e-15,1.382
5.28e-15,1.382
5.288e-15,1.382
5.296e-15,1.382
5.304e-15,1.382
5.312e-15,1.382
5.32e-15,1.381
5.328e-15,1.381
5.336e-15,1.381
5.344e-15,1.381
5.352e-15,1.381
5.36e-15,1.381
5.368e-15,1.381
5.376e-15,1.381
5.384e-15,1.381
5.392e-15,1.381
5.4e-15,1.381
5.408e-15,1.381
5.424e-15,1.381
5.44e-15,1.381
5.456e-15,1.381
5.472e-15,1.381
5.488e-15,1.381
5.504e-15,1.381
5.52e-15,1.381
5.536e-15,1.381
5.552e-15,1.381
5.568e-15,1.381
5.584e-15,1.38
5.6e-15,1.38
5.616e-15,1.38
5.632e-15,1.38
5.648e-15,1.38
5.68e-15,1.38
5.696e-15,1.38
5.712e-15,1.38
5.728e-15,1.38
5.744e-15,1.38
5.76e-15,1.379
5.776e-15,1.379
5.792e-15,1.379
5.808e-15,1.379
5.84e-15,1.379
5.856e-15,1.379
5.872e-15,1.379
5.904e-15,1.379
5.92e-15,1.379
5.952e-15,1.379
5.968e-15,1.379
6e-15,1.379
6.032e-15,1.378
6.048e-15,1.378
6.064e-15,1.378
6.08e-15,1.378
6.096e-15,1.378
6.112e-15,1.378
6.128e-15,1.378
6.144e-15,1.377
6.16e-15,1.377
6.192e-15,1.377
6.224e-15,1.376
6.256e-15,1.376
6.288e-15,1.375
6.304e-15,1.375
6.32e-15,1.375
6.336e-15,1.375
6.352e-15,1.374
6.368e-15,1.374
6.384e-15,1.374
6.4e-15,1.373
6.416e-15,1.373
6.432e-15,1.373
6.448e-15,1.372
6.464e-15,1.372
6.48e-15,1.371
6.496e-15,1.371
6.512e-15,1.37
6.528e-15,1.37
6.544e-15,1.369
6.56e-15,1.368
6.576e-15,1.367
6.592e-15,1.366
6.608e-15,1.364
6.624e-15,1.363
6.64e-15,1.362
6.656e-15,1.361
6.672e-15,1.359
6.688e-15,1.356
6.704e-15,1.351
6.72e-15,1.346
6.736e-15,1.344
6.752e-15,1.343
6.768e-15,1.344
6.784e-15,1.347
6.8e-15,1.354
6.816e-15,1.367
6.832e-15,1.382
6.848e-15,1.395
6.864e-15,1.4
6.88e-15,1.4
6.896e-15,1.4
6.912e-15,1.399
6.928e-15,1.399
6.944e-15,1.398
6.96e-15,1.396
6.976e-15,1.395
6.992e-15,1.394
7.008e-15,1.393
7.024e-15,1.393
7.04e-15,1.392
7.056e-15,1.39
7.072e-15,1.389
7.088e-15,1.388
7.104e-15,1.387
7.12e-15,1.385
7.136e-15,1.384
7.152e-15,1.382
7.168e-15,1.379
7.184e-15,1.379
7.2e-15,1.381
7.216e-15,1.384
7.232e-15,1.387
7.248e-15,1.388
7.264e-15,1.387
7.28e-15,1.384
7.296e-15,1.379
7.312e-15,1.375
7.328e-15,1.378
7.344e-15,1.393
7.36e-15,1.41
7.376e-15,1.417
7.392e-15,1.414
7.408e-15,1.412
7.424e-15,1.412
7.44e-15,1.41
7.456e-15,1.407
7.472e-15,1.405
7.488e-15,1.402
7.52e-15,1.4
7.536e-15,1.399
7.552e-15,1.398
7.568e-15,1.398
7.584e-15,1.397
7.6e-15,1.396
7.616e-15,1.396
7.632e-15,1.395
7.648e-15,1.394
7.664e-15,1.392
7.68e-15,1.391
7.696e-15,1.391
7.712e-15,1.39
7.728e-15,1.39
7.744e-15,1.39
7.76e-15,1.39
7.776e-15,1.39
7.792e-15,1.39
7.808e-15,1.391
7.824e-15,1.391
7.84e-15,1.391
7.856e-15,1.391
7.872e-15,1.39
7.888e-15,1.389
7.904e-15,1.388
7.92e-15,1.388
7.936e-15,1.387
7.952e-15,1.386
7.968e-15,1.386
7.984e-15,1.385
8e-15,1.385
8.016e-15,1.385
8.032e-15,1.387
8.048e-15,1.391
8.064e-15,1.393
8.08e-15,1.393
8.096e-15,1.392
8.112e-15,1.391
8.144e-15,1.39
8.16e-15,1.389
8.176e-15,1.389
8.192e-15,1.388
8.208e-15,1.388
8.224e-15,1.387
8.24e-15,1.385
8.256e-15,1.384
8.272e-15,1.383
8.288e-15,1.383
8.304e-15,1.385
8.32e-15,1.389
8.336e-15,1.392
8.352e-15,1.394
8.368e-15,1.395
8.384e-15,1.396
8.4e-15,1.396
8.416e-15,1.395
8.432e-15,1.394
8.448e-15,1.394
8.464e-15,1.393
8.48e-15,1.392
8.496e-15,1.391
8.512e-15,1.389
8.528e-15,1.388
8.544e-15,1.387
8.56e-15,1.387
8.576e-15,1.389
8.592e-15,1.393
8.608e-15,1.395
8.624e-15,1.396
8.64e-15,1.395
8.656e-15,1.395
8.672e-15,1.395
8.688e-15,1.394
8.704e-15,1.393
8.72e-15,1.393
8.736e-15,1.392
8.752e-15,1.392
8.768e-15,1.392
8.784e-15,1.392
8.8e-15,1.391
8.816e-15,1.391
8.832e-15,1.391
8.848e-15,1.391
8.864e-15,1.39
8.88e-15,1.39
8.896e-15,1.39
8.912e-15,1.39
8.928e-15,1.39
8.944e-15,1.39
8.96e-15,1.39
