wavelength,n
2e-06,1.343
2.041e-06,1.343
2.083e-06,1.343
2.128e-06,1.343
2.174e-06,1.343
2.222e-06,1.342
2.273e-06,1.342
2.326e-06,1.342
2.381e-06,1.342
2.439e-06,1.342
2.5e-06,1.342
2.56e-06,1.342
2.568e-06,1.342
2.576e-06,1.342
2.584e-06,1.342
2.592e-06,1.342
2.6e-06,1.342
2.608e-06,1.342
2.616e-06,1.342
2.624e-06,1.342
2.632e-06,1.342
2.64e-06,1.342
2.648e-06,1.342
2.656e-06,1.342
2.664e-06,1.342
2.672e-06,1.342
2.68e-06,1.342
2.688e-06,1.341
2.696e-06,1.341
2.704e-06,1.341
2.712e-06,1.341
2.72e-06,1.341
2.728e-06,1.341
2.736e-06,1.341
2.744e-06,1.341
2.752e-06,1.341
2.76e-06,1.341
2.768e-06,1.341
2.776e-06,1.341
2.784e-06,1.341
2.792e-06,1.341
2.8e-06,1.341
2.808e-06,1.341
2.816e-06,1.341
2.824e-06,1.341
2.832e-06,1.34
2.84e-06,1.34
2.848e-06,1.34
2.856e-06,1.34
2.864e-06,1.34
2.872e-06,1.34
2.88e-06,1.34
2.888e-06,1.34
2.896e-06,1.34
2.904e-06,1.34
2.912e-06,1.34
2.92e-06,1.34
2.928e-06,1.339
2.936e-06,1.339
2.944e-06,1.339
2.952e-06,1.339
2.96e-06,1.339
2.968e-06,1.339
2.976e-06,1.339
2.984e-06,1.339
2.992e-06,1.339
3e-06,1.339
3.008e-06,1.339
3.016e-06,1.338
3.024e-06,1.338
3.032e-06,1.338
3.04e-06,1.338
3.048e-06,1.338
3.056e-06,1.338
3.064e-06,1.338
3.072e-06,1.337
3.08e-06,1.337
3.088e-06,1.337
3.096e-06,1.337
3.104e-06,1.337
3.112e-06,1.336
3.12e-06,1.336
3.128e-06,1.336
3.136e-06,1.336
3.144e-06,1.336
3.152e-06,1.335
3.16e-06,1.335
3.168e-06,1.335
3.176e-06,1.335
3.184e-06,1.335
3.192e-06,1.335
3.2e-06,1.334
3.208e-06,1.334
3.216e-06,1.334
3.224e-06,1.333
3.232e-06,1.333
3.24e-06,1.332
3.248e-06,1.332
3.256e-06,1.331
3.264e-06,1.33
3.272e-06,1.33
3.28e-06,1.329
3.288e-06,1.328
3.296e-06,1.327
3.304e-06,1.326
3.344e-06,1.315
3.352e-06,1.309
3.36e-06,1.307
3.368e-06,1.304
3.376e-06,1.304
3.384e-06,1.306
3.392e-06,1.31
3.4e-06,1.317
3.408e-06,1.328
3.416e-06,1.34
3.424e-06,1.348
3.432e-06,1.352
3.44e-06,1.355
3.448e-06,1.358
3.456e-06,1.361
3.464e-06,1.363
3.472e-06,1.366
3.48e-06,1.37
3.488e-06,1.374
3.496e-06,1.377
3.504e-06,1.379
3.512e-06,1.379
3.52e-06,1.377
3.528e-06,1.377
3.536e-06,1.373
3.544e-06,1.369
3.552e-06,1.368
3.56e-06,1.366
3.568e-06,1.363
3.576e-06,1.361
3.584e-06,1.359
3.592e-06,1.358
3.6e-06,1.357
3.608e-06,1.356
3.616e-06,1.355
3.624e-06,1.355
3.632e-06,1.355
3.64e-06,1.354
3.648e-06,1.354
3.656e-06,1.354
3.664e-06,1.354
3.672e-06,1.354
3.68e-06,1.354
3.688e-06,1.353
3.696e-06,1.353
3.704e-06,1.353
3.712e-06,1.352
3.72e-06,1.352
3.728e-06,1.352
3.736e-06,1.352
3.744e-06,1.352
3.752e-06,1.352
3.76e-06,1.351
3.768e-06,1.351
3.776e-06,1.351
3.784e-06,1.351
3.792e-06,1.35
3.8e-06,1.35
3.808e-06,1.35
3.816e-06,1.35
3.824e-06,1.35
3.832e-06,1.35
3.84e-06,1.35
3.848e-06,1.35
3.856e-06,1.35
3.864e-06,1.35
3.872e-06,1.35
3.88e-06,1.35
3.888e-06,1.35
3.896e-06,1.35
3.904e-06,1.35
3.912e-06,1.35
3.92e-06,1.349
3.928e-06,1.349
3.936e-06,1.349
3.944e-06,1.349
3.952e-06,1.349
3.96e-06,1.349
3.968e-06,1.349
3.976e-06,1.348
3.984e-06,1.348
3.992e-06,1.348
4e-06,1.348
4.008e-06,1.348
4.016e-06,1.348
4.024e-06,1.348
4.032e-06,1.348
4.04e-06,1.348
4.048e-06,1.348
4.056e-06,1.348
4.064e-06,1.348
4.072e-06,1.347
4.08e-06,1.347
4.088e-06,1.347
4.096e-06,1.347
4.104e-06,1.347
4.112e-06,1.347
4.12e-06,1.347
4.128e-06,1.347
4.136e-06,1.347
4.144e-06,1.347
4.152e-06,1.347
4.16e-06,1.347
4.168e-06,1.347
4.176e-06,1.347
4.184e-06,1.347
4.192e-06,1.347
4.2e-06,1.347
4.208e-06,1.347
4.216e-06,1.347
4.224e-06,1.347
4.232e-06,1.347
4.24e-06,1.347
4.248e-06,1.347
4.256e-06,1.347
4.264e-06,1.347
4.272e-06,1.347
4.28e-06,1.347
4.288e-06,1.346
4.296e-06,1.346
4.304e-06,1.346
4.312e-06,1.346
4.32e-06,1.346
4.328e-06,1.346
4.336e-06,1.346
4.344e-06,1.346
4.352e-06,1.346
4.36e-06,1.346
4.368e-06,1.346
4.376e-06,1.346
4.384e-06,1.346
4.392e-06,1.346
4.4e-06,1.346
4.408e-06,1.346
4.416e-06,1.346
4.424e-06,1.346
4.432e-06,1.346
4.44e-06,1.346
4.448e-06,1.346
4.456e-06,1.346
4.464e-06,1.346
4.472e-06,1.346
4.48e-06,1.346
4.488e-06,1.346
4.496e-06,1.346
4.504e-06,1.346
4.512e-06,1.346
4.52e-06,1.346
4.528e-06,1.346
4.536e-06,1.346
4.544e-06,1.346
4.552e-06,1.345
4.56e-06,1.345
4.568e-06,1.345
4.576e-06,1.345
4.584e-06,1.345
4.592e-06,1.345
4.6e-06,1.345
4.608e-06,1.345
4.616e-06,1.345
4.624e-06,1.345
4.632e-06,1.345
4.64e-06,1.345
4.648e-06,1.345
4.656e-06,1.345
4.664e-06,1.345
4.672e-06,1.345
4.68e-06,1.345
4.688e-06,1.345
4.696e-06,1.345
4.704e-06,1.345
4.712e-06,1.345
4.72e-06,1.345
4.728e-06,1.345
4.736e-06,1.345
