wavelength,n
2.066e-16,1.264
2.101e-16,1.288
2.138e-16,1.311
2.175e-16,1.325
2.214e-16,1.349
2.254e-16,1.383
2.296e-16,1.43
2.339e-16,1.499
2.384e-16,1.599
2.431e-16,1.802
2.48e-16,2.273
2.53e-16,2.89
2.583e-16,3.342
2.638e-16,3.598
2.695e-16,3.769
2.755e-16,3.913
2.818e-16,4.015
2.883e-16,3.939
2.952e-16,3.81
3.024e-16,3.692
3.1e-16,3.601
3.179e-16,3.538
3.263e-16,3.501
3.351e-16,3.485
3.444e-16,3.495
3.542e-16,3.531
3.647e-16,3.596
3.757e-16,3.709
3.875e-16,3.938
3.999e-16,4.373
4.133e-16,4.509
4.275e-16,5.052
4.428e-16,4.959
4.592e-16,4.694
4.769e-16,4.492
4.959e-16,4.333
5.166e-16,4.205
5.391e-16,4.1
5.636e-16,4.013
5.904e-16,3.94
6.199e-16,3.878
6.525e-16,3.826
6.888e-16,3.786
7.293e-16,3.742
7.749e-16,3.7
8.266e-16,3.666
