wavelength,k
2.066e-16,2.457
2.101e-16,2.531
2.138e-16,2.6
2.175e-16,2.688
2.214e-16,2.794
2.254e-16,2.912
2.296e-16,3.049
2.339e-16,3.208
2.384e-16,3.407
2.431e-16,3.654
2.48e-16,3.914
2.53e-16,3.997
2.583e-16,3.867
2.638e-16,3.575
2.695e-16,3.223
2.755e-16,2.803
2.818e-16,2.449
2.883e-16,2.206
2.952e-16,2.059
3.024e-16,1.976
3.1e-16,1.933
3.179e-16,1.917
3.263e-16,1.922
3.351e-16,1.942
3.444e-16,1.979
3.542e-16,2.034
3.647e-16,2.115
3.757e-16,2.18
3.875e-16,1.978
3.999e-16,1.857
4.133e-16,1.322
4.275e-16,0.865
4.428e-16,0.636
4.592e-16,0.499
4.769e-16,0.409
4.959e-16,0.341
5.166e-16,0.288
5.391e-16,0.242
5.636e-16,0.202
5.904e-16,0.165
6.199e-16,0.118
6.525e-16,0.094
6.888e-16,0.082
7.293e-16,0.002
7.749e-16,0.002
8.266e-16,0.0
