wavelength,n
2.066e-07,1.333
2.101e-07,1.339
2.138e-07,1.349
2.175e-07,1.366
2.214e-07,1.393
2.254e-07,1.433
2.296e-07,1.49
2.339e-07,1.567
2.384e-07,1.677
2.431e-07,1.86
2.48e-07,2.21
2.53e-07,2.734
2.583e-07,3.238
2.638e-07,3.638
2.695e-07,3.924
2.755e-07,4.053
2.818e-07,4.018
2.883e-07,3.911
2.952e-07,3.795
3.024e-07,3.701
3.1e-07,3.633
3.179e-07,3.588
3.263e-07,3.568
3.351e-07,3.572
3.444e-07,3.602
3.542e-07,3.668
3.647e-07,3.792
3.757e-07,4.084
3.875e-07,4.379
3.999e-07,4.607
4.133e-07,4.943
4.275e-07,4.757
4.428e-07,4.547
4.592e-07,4.375
4.769e-07,4.235
4.959e-07,4.118
5.166e-07,4.022
5.391e-07,3.94
5.636e-07,3.871
5.904e-07,3.815
6.199e-07,3.759
6.525e-07,3.7
6.888e-07,3.662
7.293e-07,3.635
7.749e-07,3.536
8.266e-07,3.457
