wavelength,n
2.07e-07,1.241
2.1e-07,1.23
2.14e-07,1.224
2.18e-07,1.231
2.21e-07,1.258
2.25e-07,1.312
2.3e-07,1.376
2.34e-07,1.413
2.38e-07,1.418
2.43e-07,1.414
2.48e-07,1.42
2.53e-07,1.441
2.58e-07,1.472
2.64e-07,1.521
2.7e-07,1.589
2.76e-07,1.681
2.82e-07,1.814
2.88e-07,2.041
2.95e-07,2.479
3.02e-07,2.991
3.1e-07,3.335
3.18e-07,3.522
3.26e-07,3.643
3.35e-07,3.713
3.44e-07,3.763
3.54e-07,3.777
3.65e-07,3.809
3.76e-07,3.821
3.87e-07,3.81
4e-07,3.779
4.13e-07,3.758
4.28e-07,3.768
4.43e-07,3.804
4.59e-07,3.893
4.77e-07,4.1
4.96e-07,4.425
5.17e-07,4.461
5.39e-07,4.483
5.64e-07,4.568
5.9e-07,5.087
6.2e-07,5.154
6.53e-07,4.917
6.89e-07,4.697
7.29e-07,4.529
7.75e-07,4.393
8.27e-07,4.262
8.86e-07,4.183
9.54e-07,4.11
1.033e-06,4.031
1.127e-06,3.983
1.24e-06,3.952
1.378e-06,3.942
1.55e-06,3.861
1.771e-06,3.807
2.066e-06,3.781
2.48e-06,3.765
