wavelength,k
2.07e-07,2.305
2.1e-07,2.343
2.14e-07,2.375
2.18e-07,2.41
2.21e-07,2.458
2.25e-07,2.504
2.3e-07,2.53
2.34e-07,2.527
2.38e-07,2.52
2.43e-07,2.544
2.48e-07,2.595
2.53e-07,2.672
2.58e-07,2.777
2.64e-07,2.904
2.7e-07,3.057
2.76e-07,3.24
2.82e-07,3.453
2.88e-07,3.724
2.95e-07,3.991
3.02e-07,4.024
3.1e-07,3.801
3.18e-07,3.53
3.26e-07,3.271
3.35e-07,3.023
3.44e-07,2.82
3.54e-07,2.656
3.65e-07,2.449
3.76e-07,2.298
3.87e-07,2.2
4e-07,2.162
4.13e-07,2.149
4.28e-07,2.146
4.43e-07,2.147
4.59e-07,1.943
4.77e-07,1.716
4.96e-07,1.605
5.17e-07,1.702
5.39e-07,1.426
5.64e-07,0.97
5.9e-07,0.525
6.2e-07,0.265
6.53e-07,0.155
6.89e-07,0.098
7.29e-07,0.067
7.75e-07,0.033
8.27e-07,0.017
8.86e-07,0.004
9.54e-07,-2.20228566286e-20
1.033e-06,6.35274710441e-21
1.127e-06,-1.90582413132e-21
1.24e-06,-1.05879118407e-21
1.378e-06,3.97046694025e-22
1.55e-06,2.38228016415e-22
1.771e-06,3.97046694025e-23
2.066e-06,0.0
2.48e-06,0.0
