wavelength,n
2.4961e-16,3.02554
2.5184e-16,3.19836
2.5476e-16,3.46011
2.5742e-16,3.59851
2.5979e-16,3.74968
2.629e-16,3.88834
2.6466e-16,3.91787
2.6644e-16,3.94779
2.7046e-16,3.97665
2.7383e-16,3.96469
2.7846e-16,3.91411
2.8244e-16,3.87378
2.8737e-16,3.80658
2.9465e-16,3.729
3.0278e-16,3.68883
3.1039e-16,3.67616
3.1788e-16,3.67616
3.29e-16,3.7071
3.4329e-16,3.84155
3.5564e-16,4.00669
3.6283e-16,4.13426
3.6892e-16,4.27275
3.7738e-16,4.42574
3.8623e-16,4.57061
3.9004e-16,4.58864
3.9473e-16,4.59041
4.0114e-16,4.54576
4.1002e-16,4.44523
4.2532e-16,4.26053
4.3788e-16,4.15118
4.5538e-16,4.02608
4.7584e-16,3.90357
5.1025e-16,3.7811
5.4396e-16,3.68379
5.7342e-16,3.61762
5.8562e-16,3.60363
6.0605e-16,3.60363
6.0804e-16,3.60363
6.0974e-16,3.60363
6.1222e-16,3.60363
6.1426e-16,3.60363
6.1694e-16,3.60363
6.198e-16,3.60363
6.2334e-16,3.60363
6.2594e-16,3.60363
6.2971e-16,3.60363
6.3352e-16,3.60363
6.3604e-16,3.60363
6.3908e-16,3.60363
6.4113e-16,3.60363
6.4371e-16,3.60313
6.4613e-16,3.60157
6.4787e-16,3.60045
6.5015e-16,3.59899
6.5209e-16,3.59774
6.5386e-16,3.5966
6.5565e-16,3.59546
6.5762e-16,3.59419
6.5942e-16,3.59231
6.6106e-16,3.58809
6.6307e-16,3.58288
6.6508e-16,3.57768
6.6637e-16,3.57434
6.6674e-16,3.57339
6.6765e-16,3.57103
6.7347e-16,3.55982
6.746e-16,3.55869
6.7937e-16,3.55398
6.9328e-16,3.51979
6.9974e-16,3.4952
7.0425e-16,3.4799
7.0945e-16,3.46525
7.1448e-16,3.4536
7.2056e-16,3.43863
7.3094e-16,3.4191
7.3902e-16,3.40408
7.4641e-16,3.39356
7.535e-16,3.38004
7.6347e-16,3.36651
7.7229e-16,3.35599
7.8133e-16,3.34698
7.9205e-16,3.33195
7.9903e-16,3.32594
8.0767e-16,3.31693
8.1861e-16,3.30641
8.3094e-16,3.29439
8.414e-16,3.28387
8.5328e-16,3.27486
8.6609e-16,3.26584
8.7564e-16,3.25833
8.8418e-16,3.25532
8.9858e-16,3.24631
9.0692e-16,3.2403
9.1675e-16,3.23729
9.2611e-16,3.23129
9.3223e-16,3.23129
9.4262e-16,3.22227
9.5395e-16,3.21926
