wavelength,n
2.5157e-07,1.61929943
2.5316e-07,1.62580553
2.5475e-07,1.63233784
2.5634e-07,1.63879109
2.5793e-07,1.64505646
2.5952e-07,1.65102488
2.6112e-07,1.65659248
2.6271e-07,1.66166495
2.643e-07,1.6661614
2.6589e-07,1.67001759
2.6748e-07,1.67318804
2.6907e-07,1.67564678
2.7067e-07,1.67738674
2.7226e-07,1.67841839
2.7385e-07,1.67876731
2.7544e-07,1.67847145
2.7703e-07,1.67757803
2.7862e-07,1.67614055
2.8022e-07,1.67421606
2.8181e-07,1.67186278
2.834e-07,1.66913816
2.8499e-07,1.66609732
2.8658e-07,1.66279216
2.8818e-07,1.65927052
2.8977e-07,1.65557575
2.9136e-07,1.65174684
2.9295e-07,1.6478182
2.9454e-07,1.64382001
2.9614e-07,1.63977838
2.9773e-07,1.63571572
2.9932e-07,1.6316512
3.0091e-07,1.62760096
3.025e-07,1.62357851
3.0409e-07,1.61959495
3.0569e-07,1.6156596
3.0728e-07,1.61177977
3.0887e-07,1.60796146
3.1046e-07,1.60420941
3.1205e-07,1.60052711
3.1365e-07,1.59691729
3.1524e-07,1.59338187
3.1683e-07,1.58992216
3.1842e-07,1.58653892
3.2001e-07,1.58323243
3.2161e-07,1.58000279
3.232e-07,1.57684966
3.2479e-07,1.57377256
3.2638e-07,1.57077082
3.2797e-07,1.56784369
3.2957e-07,1.56499037
3.3116e-07,1.56220994
3.3275e-07,1.5595016
3.3434e-07,1.55686461
3.3593e-07,1.55429823
3.3752e-07,1.55180207
3.3912e-07,1.5493759
3.4071e-07,1.54702001
3.423e-07,1.54473557
3.4389e-07,1.54252591
3.4548e-07,1.54040226
3.4708e-07,1.5383554
3.4867e-07,1.53637098
3.5026e-07,1.53444205
3.5185e-07,1.53256361
3.5344e-07,1.53073176
3.5504e-07,1.52894325
3.5663e-07,1.52719532
3.5822e-07,1.52548559
3.5981e-07,1.52381191
3.614e-07,1.52217231
3.6299e-07,1.52056512
3.6459e-07,1.51898876
3.6618e-07,1.51744175
3.6777e-07,1.51592282
3.6936e-07,1.51443067
3.7095e-07,1.51296421
3.7254e-07,1.51152238
3.7414e-07,1.51010416
3.7573e-07,1.50870861
3.7732e-07,1.5073349
3.7891e-07,1.50598217
3.805e-07,1.50464966
3.821e-07,1.50333664
3.8369e-07,1.5020424
3.8528e-07,1.5007663
3.8687e-07,1.49950768
3.8846e-07,1.49826598
3.9005e-07,1.4970406
3.9164e-07,1.49583103
3.9324e-07,1.49463674
3.9483e-07,1.49345722
3.9642e-07,1.49229203
3.9801e-07,1.4911407
3.996e-07,1.49000279
4.0119e-07,1.48887789
4.0279e-07,1.48776562
4.0438e-07,1.48666557
4.0597e-07,1.48557738
4.0756e-07,1.48450069
4.0915e-07,1.48343517
4.1074e-07,1.48238049
4.1233e-07,1.48133632
4.1393e-07,1.48030234
4.1552e-07,1.4792783
4.1711e-07,1.47826391
4.187e-07,1.47725887
4.2029e-07,1.47626289
4.2188e-07,1.47527578
4.2347e-07,1.47429723
4.2506e-07,1.47332704
4.2665e-07,1.47236494
4.2825e-07,1.47141072
4.2984e-07,1.47046421
4.3143e-07,1.46952511
4.3302e-07,1.46859327
4.3461e-07,1.46766849
4.362e-07,1.46675056
4.3779e-07,1.46583928
4.3938e-07,1.46493449
4.4097e-07,1.46403603
4.4257e-07,1.46314369
4.4416e-07,1.46225733
4.4575e-07,1.46137676
4.4734e-07,1.46050185
4.4893e-07,1.45963242
4.5052e-07,1.45876834
4.5211e-07,1.45790948
4.537e-07,1.45705565
4.5529e-07,1.45620676
4.5688e-07,1.45536264
4.5847e-07,1.45452318
4.6006e-07,1.45368824
4.6165e-07,1.45285771
4.6324e-07,1.45203147
4.6484e-07,1.4512094
4.6643e-07,1.45039137
4.6802e-07,1.44957725
4.6961e-07,1.448767
4.712e-07,1.44796046
4.7279e-07,1.44715751
4.7438e-07,1.44635811
4.7597e-07,1.44556211
4.7756e-07,1.44476942
4.7915e-07,1.44397998
4.8074e-07,1.44319365
4.8233e-07,1.44241038
4.8392e-07,1.44163004
4.8551e-07,1.44085258
4.871e-07,1.4400779
4.8869e-07,1.43930593
4.9028e-07,1.43853659
4.9187e-07,1.43776978
4.9346e-07,1.43700543
4.9505e-07,1.43624346
4.9664e-07,1.43548383
4.9823e-07,1.43472642
4.9982e-07,1.4339712
5.0141e-07,1.43321808
5.03e-07,1.432467
5.0459e-07,1.43171788
5.0618e-07,1.43097069
5.0777e-07,1.43022532
5.0936e-07,1.42948174
5.1094e-07,1.42873988
5.1253e-07,1.42799965
5.1412e-07,1.42726106
5.1571e-07,1.42652399
5.173e-07,1.42578841
5.1889e-07,1.42505427
5.2048e-07,1.42432151
5.2207e-07,1.42359007
5.2366e-07,1.42285991
5.2525e-07,1.42213096
5.2684e-07,1.4214032
5.2843e-07,1.42067654
5.3002e-07,1.41995099
5.316e-07,1.41922644
5.3319e-07,1.41850287
5.3478e-07,1.41778024
